name,date,category,tags,labels
ポケモン サン・ムーン,2016-11-18,software,"pokemon","3ds"
ポケモン ソード・シールド,2019-11-15,software,"pokemon","switch"
ポケモン アルセウス,2022-01-28,software,"pokemon","switch"
ポケモン スカーレット・バイオレット,2022-11-18,software,"pokemon","switch"
ポケダン 赤の救助隊,2005-11-17,software,"pokemon","gba"
ポケダン 青の救助隊,2005-11-17,software,"pokemon","nds"
ポケダン 時・闇,2007-09-13,software,"pokemon","nds"
ポケダン 空,2009-04-18,software,"pokemon","nds"
ポケダン マグナゲート,2012-11-23,software,"pokemon","3ds"
ポケダン 超,2015-09-17,software,"pokemon","3ds"
ポケダン DX,2020-03-06,software,"pokemon","switch"

ドラゴンクエスト,1986-05-27,software,"enix","fc"
ドラゴンクエストII,1987-01-26,software,"enix","fc"
ドラゴンクエストIII,1988-02-10,software,"enix","fc"
ドラゴンクエストIV,1990-02-11,software,"enix","fc"
ドラゴンクエストV,1992-09-27,software,"enix","sfc"
ドラゴンクエストVI,1995-12-09,software,"enix","sfc"
ドラゴンクエストVII,2000-08-26,software,"enix","ps1"
ドラゴンクエストVIII,2004-11-27,software,"square-enix","ps2"
ドラゴンクエストIX,2009-07-11,software,"square-enix","nds"
ドラゴンクエストX,2012-08-02,software,"square-enix","wii"
ドラゴンクエストXI,2017-07-29,software,"square-enix","ps4,3ds"

ファイナルファンタジー,1987-12-18,software,"square","fc"
ファイナルファンタジーII,1988-12-17,software,"square","fc"
ファイナルファンタジーIII,1990-04-27,software,"square","fc"
ファイナルファンタジーIV,1991-07-19,software,"square","sfc"
ファイナルファンタジーV,1992-12-06,software,"square","sfc"
ファイナルファンタジーVI,1994-04-02,software,"square","sfc"
ファイナルファンタジーVII,1997-01-31,software,"square","ps1"
ファイナルファンタジーVIII,1999-02-11,software,"square","ps1"
ファイナルファンタジーIX,2000-07-07,software,"square","ps1"
ファイナルファンタジーX,2001-07-19,software,"square","ps2"
ファイナルファンタジーX-2,2003-03-13,software,"square","ps2"
ファイナルファンタジーXI,2002-05-16,software,"square-enix","ps2"
ファイナルファンタジーXII,2006-03-16,software,"square-enix","ps2"
ファイナルファンタジーXIII,2009-12-17,software,"square-enix","ps3"
ファイナルファンタジーXIII-2,2011-12-15,software,"square-enix","ps3"
ライトニングリターンズ FFXIII,2013-11-21,software,"square-enix","ps3"
ファイナルファンタジーXIV,2010-09-30,software,"square-enix","win"
新生ファイナルファンタジーXIV,2013-08-27,software,"square-enix","win"
ファイナルファンタジーXV,2016-11-29,software,"square-enix","ps4"
ファイナルファンタジーXVI,2023-06-22,software,"square-enix","ps5"

バーチャファイター,1993-12-00,software,"sega","arcade"
バーチャファイター2,1994-11-00,software,"sega","arcade"
バーチャファイター3,1996-09-26,software,"sega","arcade"
バーチャファイター4,2001-08-02,software,"sega","arcade"
バーチャファイター5,2006-07-12,software,"sega","arcade"

餓狼伝説,1991-11-25,software,"snk","arcade"
餓狼伝説2,1992-12-10,software,"snk","arcade"
餓狼伝説スペシャル,1993-09-16,software,"snk","arcade"
餓狼伝説3,1995-03-27,software,"snk","arcade"
リアルバウト餓狼伝説,1995-12-21,software,"snk","arcade"
リアルバウト餓狼伝説スペシャル,1997-01-28,software,"snk","arcade"
リアルバウト餓狼伝説2,1998-03-20,software,"snk","arcade"
餓狼伝説 WILD AMBITION,1999-01-28,software,"snk","arcade"
餓狼 MARK OF THE WOLVES,1999-11-26,software,"snk","arcade"
餓狼伝説 City of the Wolves,2025-04-24,software,"snk","multi"

龍虎の拳,1992-09-24,software,"snk","arcade"
龍虎の拳2,1994-02-03,software,"snk","arcade"
ART OF FIGHTING 龍虎の拳 外伝,1996-03-12,software,"snk","arcade"

サムライスピリッツ,1993-07-07,software,"snk","arcade"
真サムライスピリッツ,1994-10-28,software,"snk","arcade"
サムライスピリッツ斬紅郎無双剣,1995-11-27,software,"snk","arcade"
サムライスピリッツ天草降臨,1996-10-25,software,"snk","arcade"
SAMURAI SPIRITS 〜侍魂〜,1997-12-19,software,"snk","arcade"
SAMURAI SPIRITS 2 〜アスラ斬魔伝〜,1998-10-16,software,"snk","arcade"
サムライスピリッツ零,2003-10-10,software,"snk","arcade"
サムライスピリッツ零SPECIAL,2004-04-22,software,"snk","arcade"
サムライスピリッツ天下一剣客伝,2005-09-14,software,"snk","arcade"
サムライスピリッツ閃,2008-04-14,software,"snk","arcade"
SAMURAI SPIRITS,2019-06-27,software,"snk","multi"
真説サムライスピリッツ,1997-06-27,software,"snk","ngcd,ps1,ss"

KOF'94,1994-08-25,software,"snk","arcade"
KOF'95,1995-07-25,software,"snk","arcade"
KOF'96,1996-07-30,software,"snk","arcade"
KOF'97,1997-07-28,software,"snk","arcade"
KOF'98,1998-07-23,software,"snk","arcade"
KOF'99,1999-07-22,software,"snk","arcade"
KOF 2000,2000-07-26,software,"snk","arcade"
KOF 2001,2001-11-15,software,"snk","arcade"
KOF 2002,2002-10-10,software,"snk","arcade"
KOF 2003,2003-12-12,software,"snk","arcade"
KOF XI,2005-10-26,software,"snk","arcade"
KOF XII,2009-04-10,software,"snk","arcade"
KOF XIII,2010-07-14,software,"snk","arcade"
KOF XIV,2016-08-25,software,"snk","multi"
KOF XV,2022-02-27,software,"snk","multi"
KOF MAXIMUM IMPACT,2007-07-13,software,"snk","arcade"

幕末浪漫 月華の剣士,1997-12-05,software,"snk","arcade"
幕末浪漫第二幕 月華の剣士,1998-11-25,software,"snk","arcade"
メタルスラッグ,1996-05-24,software,"snk","arcade"
SNK VS. CAPCOM SVC CHAOS,2003-07-24,software,"snk","arcade"

ストリートファイターII,1991-02-14,software,"capcom","arcade"
ストリートファイターII',1992-03-22,software,"capcom","arcade"
ストリートファイターII' TURBO,1992-12-09,software,"capcom","arcade"
